Norway         = Норвегия                          # 12+ # pix-
Norwegian         = норвежский                           # 12+ #pix-

slalom            = слалом                               # 12+

Kraken            = Кракен %% мифическое морское чудовище ~~~ из норвежского диалекта # 12+
narwhal/narwhale  = нарвал %% из датского и норвежского  # 18+

Old Norse         = древнескандинавский                  # 12+

fjord             = фьорд                                # 18+ /// from Norwegian fiord, from Old Norse
krill             = криль                                # 14+ /// from Norwegian, from Old Norse
lemming           = лемминг                              # 12+ /// через норвежский /// 8+ really
Viking            = викинг                               # 12+ /// from Old Norse + /// 8+ really
berserk           = берсерк                              # 14+
