eat        = есть ~ (кушать)
apple      = яблоко
salt       = соль
meat       = мясо
mead       = мёд ~ (напиток) # 18+
wine       = вино      # 18+

sow @ verb = сеять
rye        = рожь
saddle     = седло
domestic   = домашний, ~ семейный
ovine      = овечий
goose      = гусь

swine      = свинья
mash       = месиво, месить, ~ пюре

water      = вода
snow       = снег
dale       = дол, долина
night      = ночь

tree       = дерево
birch      = береза
nest       = гнездо
wolf       = волк
mouse      = мышь

