onomatopoeia               = ономатопея, ~ звукоподражание

roar                       = рык, рычать
growl                      = рычание, ворчание, ~ рычать %% <small>Sound credit: freeSFX.co.uk ~ http://www.freesfx.co.uk</small> /// NEW

baa                        = бе-е, ~ блеять, блеяние
bleat                      = блеять %% <small>Sound credit: freeSFX.co.uk ~ http://www.freesfx.co.uk</small>
moo                        = му-у, ~ мычать, мычание
hee-haw                    = и-а

quack                      = кря, ~ крякать, крякание %% об утке; ''не'' ква, квакать -- о лягушке
croak                      = ква, ~ квакать, кваканье
croak/caw                  = кар, ~ каркать, карканье
cuckoo                     = кукушка, ~ ку-ку

cock-a-doodle-doo          = кукареку
cluck cluck, ~ bok bok bok = ко-ко-ко                                                                        /// , ~ куд-куда

chirp/chirrup, ~ tweet     = чирикать, щебетать
tweet-tweet                = чик-чирик
trill                      = трель, заливаться


