basic ~ vocabulary

---
bird                 = птица
duck                 = утка
sparrow              = воробей
swan                 = лебедь
woodpecker           = дятел
---
bird of prey//raptor = хищная птица
eagle                = орёл
hawk                 = ястреб, сокол
falcon               = сокол
owl                  = сова

wild                 = дикий
predator             = хищник
prey                 = добыча
fox                  = лиса
bear                 = медведь

elephant             = слон

fish %% plural: fish = рыба
whale                = кит

snake/serpent        = змея
venomous             = ядовитый
caterpillar          = гусеница

ant                  = муравей
bee                  = пчела
spider               = паук

fly @ insect         = муха
fly @ verb           = лететь

feather              = перо
wing                 = крыло
tail                 = хвост
paw                  = лапа
fur                  = мех



