astral             = астральный, звездный # 10+
astral plane       = астральный план # 10+
astrology          = астрология # 10+
horoscope          = гороскоп  # 10+
astrological signs = знаки зодиака
Aries              = Овен      # TERM-
Taurus             = Телец     # TERM-
Gemini             = Близнецы  # TERM-
Cancer             = Рак       # TERM-
Leo                = Лев       # TERM-
Virgo              = Дева      # TERM-
Libra              = Весы      # TERM-
Scorpio            = Скорпион  # TERM-
Sagittarius        = Стрелец   # TERM-
Capricorn          = Козерог   # TERM-
Aquarius           = Водолей   # TERM-
Pisces             = Рыбы      # TERM-

