barque|bark              = барк  # 16+ /// барка устар.
brig                     = бриг
brigantine               = бригантина
barquentine              = баркентина # RARE+ # 16+ /// (с косыми парусами на всех мачтах, кроме носовой)

galley                   = галера, ~ камбуз
sloop                    = шлюп

bowsprit                 = бушприт # TECH+ # 16+
gun port                 = пушечный порт # TECH+ # 16+
quarterdeck              = квартердек, шканцы # TECH+ # 16+
reef                     = брать рифы ~ (на парусе) # TECH+ # 16+

Dreadnought,~dreadnought = дредноут
monitor                  = монитор ~ (корабль) # HISTORY+ # WAR+ # 16+

