basic ~ vocabulary

---
bird                 = птица
duck                 = утка
sparrow              = воробей
swan                 = лебедь
woodpecker           = дятел
---
bird of prey//raptor = хищная птица
eagle                = орёл
hawk                 = ястреб, сокол
falcon               = сокол
owl                  = сова

wild                 = дикий
predator             = хищник
prey                 = добыча
fox @ animal                  = лиса
bear                 = медведь

elephant             = слон
horse                = лошадь
bull @ ox            = бык

fish %% plural: fish = рыба
whale                = кит

snake                = змея
frog                 = лягушка
caterpillar          = гусеница

ant                  = муравей
bee                  = пчела

spider               = паук
web @ spider         = паутина

fly @ insect         = муха
fly @ verb           = лететь

feather @ bird       = перо
wing @ bird          = крыло # duple
tail @ animal        = хвост
paw @ animal         = лапа
fur @ amimal         = мех







