genetics                      = генетика

genes                         = гены
chromosome                    = хромосома

population @ bio              = в зоологии: популяция, ~ также: население
hybrid @ bio                  = помесь, гибрид, гибридный

mutation @ bio                = мутация
mutant                        = мутант

genetic engineering           = генная инженерия
genetically modified organism = генетически модифицированный организм /// (GMO) (ГМО)
clone @ bio                   = клон, клонировать

regeneration                  = регенерация, ~ восстановление, возрождение


